Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_sorting_strategy,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Strain,Tissue
SRR12892910,RNA-Seq,51,53287911,PRJNA671700,SAMN16546107,23156721,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9357661,GSM4856264,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856264,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892911,RNA-Seq,51,115577220,PRJNA671700,SAMN16546106,49907343,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9357662,GSM4856265,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856265,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892912,RNA-Seq,51,28347126,PRJNA671700,SAMN16546105,12329816,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9357663,GSM4856266,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856266,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892913,RNA-Seq,51,63990057,PRJNA671700,SAMN16546104,27931234,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX9357664,GSM4856267,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856267,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892914,RNA-Seq,51,127284168,PRJNA671700,SAMN16546103,56563861,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9357665,GSM4856268,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856268,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892915,RNA-Seq,51,19063392,PRJNA671700,SAMN16546102,8439204,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9357666,GSM4856269,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856269,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892916,RNA-Seq,51,44051046,PRJNA671700,SAMN16546108,20508769,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9357667,GSM4856270,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856270,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892917,RNA-Seq,51,33522912,PRJNA671700,SAMN16546101,15575865,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9357668,GSM4856271,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856271,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892918,RNA-Seq,51,54298629,PRJNA671700,SAMN16546100,23728391,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9357669,GSM4856272,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856272,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892919,RNA-Seq,51,264461724,PRJNA671700,SAMN16546099,111711887,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9357670,GSM4856273,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856273,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
