"","Run","assay_type","AvgSpotLen","BioSample","Experiment","sample_name","tissue","Strain","title","description"
"SRR12892451","SRR12892451","RNA-Seq",51,"SAMN16543866","SRX9357913","GSM4856548","Kidney glomerulus","C57BL/6J","299s_I24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892452","SRR12892452","RNA-Seq",51,"SAMN16543865","SRX9357914","GSM4856549","Kidney glomerulus","C57BL/6J","813s_I23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892453","SRR12892453","RNA-Seq",51,"SAMN16543864","SRX9357915","GSM4856550","Kidney glomerulus","C57BL/6J","813s_H21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892454","SRR12892454","RNA-Seq",51,"SAMN16543863","SRX9357916","GSM4856551","Kidney glomerulus","C57BL/6J","813s_G24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892455","SRR12892455","RNA-Seq",51,"SAMN16546356","SRX9357469","GSM4855912","Kidney glomerulus","C57BL/6J","121s_G16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892456","SRR12892456","RNA-Seq",51,"SAMN16546355","SRX9357470","GSM4855913","Kidney glomerulus","C57BL/6J","682s_D6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892457","SRR12892457","RNA-Seq",51,"SAMN16546354","SRX9357471","GSM4855914","Kidney glomerulus","C57BL/6J","298s_A10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892458","SRR12892458","RNA-Seq",51,"SAMN16546353","SRX9357472","GSM4855915","Kidney glomerulus","C57BL/6J","813s_K13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892459","SRR12892459","RNA-Seq",51,"SAMN16546352","SRX9357473","GSM4855916","Kidney glomerulus","C57BL/6J","196s_N3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892460","SRR12892460","RNA-Seq",51,"SAMN16546351","SRX9357474","GSM4855917","Kidney glomerulus","C57BL/6J","196s_M24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892461","SRR12892461","RNA-Seq",51,"SAMN16546350","SRX9357475","GSM4855918","Kidney glomerulus","C57BL/6J","682s_M11","mouse_glom_single_cell_unbiased_rpkms.txt"
